no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,booking_status
2,0,1,2,0,224,0,0,0,0,1
2,0,2,3,0,5,0,0,0,1,1
1,0,2,1,0,1,0,0,0,0,0
2,0,0,2,0,211,0,0,0,0,0
2,0,1,1,0,48,0,0,0,0,0
2,0,0,2,0,346,0,0,0,1,0
2,0,1,3,0,34,0,0,0,1,1
2,0,1,3,0,83,0,0,0,1,1
3,0,0,4,0,121,0,0,0,1,1
2,0,0,5,0,44,0,0,0,3,1
1,0,1,0,0,0,0,0,0,0,1
1,0,2,1,0,35,0,0,0,1,1
2,0,2,1,0,30,0,0,0,0,0
1,0,2,0,0,95,0,0,0,2,0
2,0,0,2,0,47,0,0,0,2,1
2,0,0,2,0,256,0,0,0,1,0
1,0,1,0,0,0,0,0,0,0,1
2,0,1,3,0,1,0,0,0,1,1
2,0,2,2,0,99,0,0,0,0,0
2,0,1,0,0,12,0,0,0,0,1
2,0,2,2,0,99,0,0,0,0,0
1,0,0,1,0,122,0,0,0,0,1
2,0,2,4,0,2,0,0,0,0,1
2,0,0,3,0,37,0,0,0,0,1
2,0,2,1,0,130,0,0,0,1,1
2,0,0,2,0,99,0,0,0,1,1
2,0,1,1,0,60,0,0,0,0,1
1,0,0,2,0,2,0,0,0,0,0
1,0,1,2,0,37,0,0,0,0,0
2,0,0,2,0,56,0,0,0,0,1
2,0,1,1,0,3,0,0,0,1,1
2,0,2,2,0,107,0,0,0,1,1
0,2,0,3,0,56,0,0,0,1,1
2,0,0,1,0,2,0,0,0,1,1
2,0,0,2,0,72,0,0,0,0,1
2,0,0,1,1,23,0,0,0,1,1
1,0,2,1,0,34,0,0,0,0,0
2,0,0,1,0,289,0,0,0,0,1
2,0,2,3,0,247,0,0,0,0,0
2,0,2,1,0,186,0,0,0,1,0
2,0,0,4,0,64,0,0,0,2,1
2,0,0,2,0,35,0,0,0,1,1
3,0,2,1,0,96,0,0,0,1,1
2,0,1,1,0,41,0,0,0,1,0
2,0,0,4,0,55,0,0,0,1,1
2,0,0,3,0,146,0,0,0,0,1
1,0,0,2,0,32,0,0,0,0,1
2,0,0,1,0,55,0,0,0,0,1
2,0,0,4,0,57,0,0,0,1,1
1,0,1,3,0,7,0,0,0,2,1
1,0,2,5,0,124,0,0,0,0,1
2,0,2,2,0,169,0,0,0,0,0
1,0,1,2,0,6,0,0,0,1,1
2,0,0,4,0,51,0,0,0,1,1
2,0,1,0,0,13,0,0,0,2,1
2,0,1,3,0,100,0,0,0,1,1
2,0,0,1,0,139,0,0,0,1,1
2,0,1,2,0,117,0,0,0,2,1
2,0,1,4,0,39,0,0,0,0,0
2,0,0,3,0,86,0,0,0,1,1
2,2,0,1,1,2,0,0,0,1,1
1,0,0,3,0,19,0,0,0,2,1
1,0,0,2,0,192,0,0,0,0,1
1,0,0,1,0,2,0,0,0,1,1
2,0,2,1,0,86,0,0,0,0,1
2,0,0,3,0,30,0,0,0,2,1
2,0,0,2,0,179,0,0,0,1,1
2,0,0,2,0,26,0,0,0,0,0
2,0,0,1,0,55,0,0,0,0,1
2,0,1,2,0,74,0,0,0,1,1
2,0,0,3,0,143,0,0,0,0,1
2,0,1,0,0,34,0,0,0,2,1
2,0,1,1,1,30,0,0,0,1,1
2,0,0,2,0,177,0,0,0,0,0
2,0,2,3,0,34,0,0,0,0,1
2,0,1,4,0,18,0,0,0,1,1
3,0,1,1,0,267,0,0,0,0,1
2,0,1,2,0,64,0,0,0,1,1
