"Specific Bean Origin
or Bar Name","Cocoa
Percent","Company
Location",Rating
Agua Grande,63.0,France,3.75
Kpime,70.0,France,2.75
Atsane,70.0,France,3.0
Akata,70.0,France,3.5
Quilla,70.0,France,3.5
Carenero,70.0,France,2.75
Cuba,70.0,France,3.5
Sur del Lago,70.0,France,3.5
Puerto Cabello,70.0,France,3.75
Pablino,70.0,France,4.0
Panama,70.0,France,2.75
Madagascar,70.0,France,3.0
Brazil,70.0,France,3.25
Equateur,70.0,France,3.75
Colombie,70.0,France,2.75
Birmanie,70.0,France,3.0
Papua New Guinea,70.0,France,3.25
Chuao,70.0,France,4.0
Piura,70.0,France,3.25
Chanchamayo Province,70.0,France,3.5
Chanchamayo Province,63.0,France,4.0
Bolivia,70.0,France,3.5
Peru,63.0,France,3.75
"Chulucanas, El Platanal",70.0,U.S.A.,3.75
"Tumbes, Norandino",70.0,U.S.A.,3.75
Vanua Levu,60.0,Fiji,2.75
"Vanua Levu, Toto-A",80.0,Fiji,3.25
Vanua Levu,88.0,Fiji,3.5
"Vanua Levu, Ami-Ami-CA",72.0,Fiji,3.5
"Los Rios, Quevedo, Arriba",55.0,Ecuador,2.75
"Los Rios, Quevedo, Arriba",70.0,Ecuador,3.0
Tabasco,70.0,Mexico,3.0
"Bali (west), Sukrama Family, Melaya area",75.0,Switzerland,3.75
"Madagascar, Ambolikapiky P.",75.0,Switzerland,2.75
"Monte Alegre, D. Badero",75.0,Switzerland,2.75
Trinite,65.0,France,2.75
Vietnam,75.0,France,2.75
Madagascar,75.0,France,3.0
Chuao,75.0,France,2.5
"Piura, Perou",75.0,France,2.5
"Winak Coop, Napo",70.0,Netherlands,3.5
"La Dalia, Matagalpa",70.0,Netherlands,3.5
Tien Giang,70.0,Netherlands,3.5
"Makwale Village, Kyela",70.0,Netherlands,3.5
Momotombo,60.0,U.S.A.,2.75
Acopagro,60.0,U.S.A.,3.0
CIAAB Coop,60.0,U.S.A.,2.5
Villa Andina,60.0,U.S.A.,2.5
Gruppo Salinas,60.0,U.S.A.,2.75
Sur del Lago,60.0,U.S.A.,2.5
Conacado,60.0,U.S.A.,3.0
Bolivia,80.0,U.S.A.,3.25
Bolivia,60.0,U.S.A.,3.0
Peru,60.0,U.S.A.,3.25
Morobe,70.0,U.S.A.,4.0
Dos Rios,70.0,U.S.A.,3.75
Guayas,70.0,U.S.A.,4.0
Chuao,70.0,U.S.A.,3.0
Montanya,70.0,U.S.A.,3.0
