label,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11
1,5,1245.5,3,77000.0,2,15,5,109,5,151300,244.94897430000003
0,4,1277.0,1,113000.0,2,8,-1,100,3,341759,207.17384
0,7,1298.0,1,110000.0,2,11,-1,101,5,72001,1.0
1,7,1335.5,1,151000.0,2,11,5,110,3,60084,1.0
0,6,1217.0,3,56000.0,2,6,-1,100,3,60091,1.0
1,4,1304.0,3,35000.0,2,8,9,85,5,60069,1.0
1,5,1256.0,3,78000.0,2,15,-1,111,3,60030,1.0
0,5,1323.5,3,218000.0,2,15,5,112,4,151300,282.8427125
0,7,1314.5,1,483000.0,2,11,9,101,3,151300,282.8427125
0,4,1250.0,3,95000.0,2,8,9,111,4,60047,1.0
0,7,1223.0,3,81000.0,2,11,5,114,4,151300,194.9358869
0,7,1365.5,1,96000.0,2,11,-1,78,3,60025,178.8854382
0,7,1257.5,3,126000.0,2,11,5,105,3,151300,1.0
0,4,1214.0,3,81000.0,2,8,5,111,1,60043,202.4845673
1,7,1241.0,3,78000.0,1,11,5,105,5,60074,1.0
1,7,1241.0,1,111000.0,2,11,5,90,5,350068,223.6067977
0,4,1305.5,1,129000.0,2,8,5,81,5,60014,1.0
0,7,1277.0,1,150000.0,2,11,5,95,5,60015,1.0
0,4,1304.0,1,35000.0,2,8,5,105,3,340019,181.6590212
0,4,1320.5,3,164000.0,1,8,5,105,5,151300,187.08286930000003
0,7,1290.5,3,119000.0,2,11,9,85,3,151300,200.0
0,5,1455.5,3,35000.0,2,15,5,92,5,60058,1.0
1,7,1242.5,3,71000.0,1,11,5,108,5,60005,173.20508080000002
1,7,1239.5,3,79000.0,2,11,8,111,5,71003,1.0
0,7,1335.5,3,150000.0,2,11,9,105,5,350050,412.3105626
0,4,1355.0,3,177000.0,2,8,5,87,5,151101,1.0
0,5,1338.5,3,30000.0,2,15,5,110,4,71000,223.6067977
0,7,1259.0,3,74000.0,2,11,5,95,5,60036,207.3185954
0,4,1364.0,1,200000.0,2,8,5,90,3,60022,212.1320344
0,7,1335.5,3,126000.0,2,11,5,83,5,60051,1.0
1,7,1272.5,3,50000.0,2,11,5,79,3,60011,1.0
0,7,1347.5,1,392000.0,2,11,4,114,4,60018,1.0
0,4,1191.5,3,50000.0,2,8,5,106,5,60090,1.0
0,5,1298.0,1,127000.0,2,15,-1,113,4,151300,1.0
0,5,1469.0,3,110000.0,2,15,5,82,5,350066,223.6067977
0,7,1400.0,1,100000.0,2,11,5,94,5,60028,205.55534530000003
1,7,1302.5,1,92000.0,2,11,-1,105,4,60075,212.1320344
0,7,1314.5,1,127000.0,2,11,-1,109,3,340012,500.0
1,7,1317.5,3,127000.0,2,11,9,88,5,71000,200.0
0,4,1314.5,3,89000.0,2,8,5,111,4,151009,1.0
0,4,1280.0,3,96000.0,2,8,9,112,4,60062,1.0
0,4,1287.5,1,139000.0,2,8,5,100,3,60030,244.94897430000003
0,5,1241.0,3,60000.0,2,15,5,90,5,60000,200.0
0,7,1187.0,3,90000.0,2,11,5,100,5,60093,1.0
0,5,1350.5,1,237000.0,2,15,8,86,3,60085,223.6067977
0,7,1302.5,1,92000.0,2,11,-1,105,4,591003,167.33200530000002
0,5,1205.0,3,61000.0,2,15,5,76,5,60069,1.0
0,1,1130.0,2,1000000.0,2,4,-1,100,5,650018,1.0
0,4,1352.0,1,168000.0,2,8,5,105,3,60017,223.6067977
0,7,1223.0,3,73000.0,2,11,9,111,4,350092,200.0
1,7,1235.0,3,101000.0,2,11,5,112,3,60013,1.0
0,5,1334.0,3,102000.0,2,15,9,84,5,72000,200.0
0,4,1214.0,3,68000.0,2,8,9,110,5,60091,1.0
1,7,1241.0,3,55000.0,2,11,9,113,4,151300,212.1320344
0,4,1293.5,1,458000.0,2,8,-1,75,5,340017,200.0
0,4,1382.0,3,76000.0,2,8,5,100,5,60018,173.20508080000002
0,4,1323.5,1,103000.0,2,8,-1,85,5,350069,204.0171561
1,5,1206.5,3,49000.0,2,15,2,102,4,551201,158.11388300000002
1,7,1214.0,3,59000.0,2,11,9,86,5,60018,200.0
0,5,1272.5,3,70000.0,2,15,5,113,5,60033,167.1227094
0,4,1322.0,3,35000.0,2,8,5,95,3,151300,173.20508080000002
0,4,1239.5,3,68000.0,2,8,5,84,5,60052,1.0
0,4,1328.0,3,148000.0,2,8,2,110,5,60064,1.0
0,5,1371.5,3,82000.0,2,15,5,115,5,151300,1.0
0,4,1313.0,3,133000.0,2,8,5,80,5,60074,1.0
0,5,1212.5,3,125000.0,2,15,10,113,4,550005,187.08286930000003
0,4,1322.0,1,104000.0,2,8,5,114,3,60019,212.1320344
1,7,1214.0,3,51000.0,2,11,9,111,5,72000,1.0
0,4,1305.5,3,91000.0,2,8,2,95,5,60091,1.0
0,4,1278.5,3,115000.0,2,8,5,99,3,72000,173.20508080000002
1,7,1241.0,3,75000.0,2,11,5,110,4,450059,194.9358869
0,4,1281.5,3,304000.0,2,8,5,84,3,60024,1.0
0,5,1230.5,3,58000.0,2,15,-1,92,3,340020,122.4744871
0,7,1257.5,1,84000.0,1,11,5,106,5,71000,173.20508080000002
1,4,1305.5,3,59000.0,2,8,5,113,4,72004,1.0
0,5,1223.0,3,90000.0,2,15,5,101,3,450091,223.6067977
0,4,1214.0,3,118000.0,2,8,5,110,4,71000,223.6067977
0,4,1235.0,3,84000.0,2,8,5,82,5,60044,1.0
0,7,1266.5,1,165000.0,2,11,5,111,3,60084,1.0
0,4,1304.0,1,100000.0,2,8,-1,113,3,350098,158.11388300000002
0,7,1244.0,3,59000.0,2,11,5,79,3,60040,173.20508080000002
1,5,1314.5,3,177000.0,2,15,5,105,5,60059,1.0
0,4,1386.5,3,296000.0,2,9,5,109,5,151300,223.6067977
0,4,1257.5,1,91000.0,2,8,5,90,3,72000,1.0
0,4,1269.5,3,107000.0,1,8,9,81,3,60040,173.20508080000002
0,4,1304.0,3,60000.0,2,8,2,95,5,60058,223.6067977
0,7,1283.0,3,90000.0,2,11,5,85,5,60000,1.0
1,7,1265.0,3,70000.0,2,11,-1,81,5,350704,316.22776600000003
0,7,1256.0,1,126000.0,2,11,9,102,3,350705,158.11388300000002
0,7,1314.5,3,150000.0,2,11,10,113,4,60023,187.08286930000003
0,4,1320.5,1,138000.0,2,8,9,108,3,60000,212.407627
0,5,1377.5,3,96000.0,2,15,5,87,5,60044,207.3644135
0,7,1415.0,3,155000.0,2,11,5,107,3,60005,212.1320344
0,5,1272.5,3,143000.0,2,15,5,114,4,72001,223.6067977
0,4,1278.5,3,186000.0,2,8,5,100,5,72000,173.20508080000002
1,7,1254.5,3,100000.0,2,11,5,84,5,151300,158.11388300000002
1,4,1239.5,3,90000.0,2,8,5,100,3,60019,173.20508080000002
0,7,1281.5,3,98000.0,2,11,9,114,4,60019,1.0
0,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172
0,7,1350.5,1,110000.0,2,11,-1,108,5,71000,1.0
0,4,1338.5,1,112000.0,2,8,5,90,3,330008,1.0
0,5,1250.0,1,167000.0,2,15,-1,90,5,450080,141.4213562
0,4,1307.0,1,133000.0,2,8,5,110,3,60043,1.0
0,7,1235.0,1,75000.0,2,11,5,91,5,350092,200.0
1,5,1308.5,3,30000.0,2,15,5,99,5,60062,1.0
0,4,1340.0,3,116000.0,2,8,9,104,5,72000,1.0
0,4,1214.0,3,81000.0,2,8,9,101,4,60040,1.0
0,7,1230.5,1,129000.0,2,11,5,88,3,60043,1.0
1,4,1241.0,3,60000.0,2,8,5,115,5,60036,1.0
0,7,1284.5,3,106000.0,2,11,9,104,4,60036,1.0
0,4,1308.5,1,35000.0,2,8,5,103,5,151300,1.0
0,4,1227.5,3,62000.0,2,8,5,110,5,60069,1.0
0,5,1277.0,1,142000.0,2,15,-1,111,4,450002,197.4841766
0,7,1277.0,3,98000.0,2,11,5,92,5,60036,1.0
1,5,1347.5,3,150000.0,2,15,5,110,5,72000,538.5387637
0,7,1266.5,3,89000.0,2,11,5,89,3,60091,1.0
1,5,1268.0,3,91000.0,2,15,5,112,4,71008,1.0
0,5,1265.0,1,90000.0,2,15,-1,110,5,450018,187.08286930000003
0,5,1310.0,1,500000.0,2,15,5,103,5,452306,244.94897430000003
0,7,1290.5,1,99000.0,2,11,-1,110,5,450062,200.0
0,5,1272.5,3,97000.0,2,15,8,105,5,72000,1.0
0,5,1304.0,3,390000.0,2,15,5,91,5,60050,1.0
0,4,1277.0,3,100000.0,2,8,5,100,5,60000,223.6067977
0,4,1356.5,1,148000.0,2,8,5,83,3,60001,1.0
1,7,1262.0,3,172000.0,2,11,9,112,4,72000,262.11066370000003
0,7,1247.0,3,71000.0,1,11,9,95,4,60026,200.7560709
0,7,1235.0,3,89000.0,2,11,5,115,5,60065,1.0
0,4,1196.0,3,65000.0,2,8,-1,108,4,72001,1.0
1,5,1269.5,3,86000.0,2,15,9,89,5,60019,1.0
0,5,1256.0,3,110000.0,2,15,9,107,5,60018,1.0
0,7,1254.5,3,97000.0,2,11,5,83,3,60017,282.8427125
0,5,1239.5,3,78000.0,2,15,5,112,4,450015,214.4761059
0,7,1241.0,3,63000.0,2,11,5,107,5,72000,1.0
0,4,1341.5,1,91000.0,1,8,5,100,4,151300,173.6605885
0,4,1317.5,3,293000.0,2,8,5,100,5,60018,1.0
1,5,1326.5,3,30000.0,2,15,5,110,5,60005,1.0
0,5,1310.0,3,325000.0,2,15,5,83,3,71000,1.0
0,5,1274.0,3,127000.0,2,15,9,113,4,72001,212.1320344
0,7,1317.5,3,150000.0,2,11,5,112,5,450042,345.7947368
0,7,1346.0,1,112000.0,2,11,5,85,5,60064,200.0
0,5,1277.0,1,101000.0,2,15,5,111,4,60091,1.0
