,MinTemp,MaxTemp,RainTomorrow,RainToday
0,8.0,24.3,0,1
1,14.0,26.9,0,0
2,13.7,23.4,0,0
3,13.3,15.5,0,0
4,7.6,16.1,1,0
5,6.2,16.9,1,1
6,6.1,18.2,1,1
7,8.3,17.0,1,1
8,8.8,19.5,0,1
9,8.4,22.8,1,0
10,9.1,25.2,1,1
11,8.5,27.3,1,1
12,10.1,27.9,1,1
13,12.1,30.9,1,1
14,10.1,31.2,1,1
15,12.4,32.1,1,1
16,13.8,31.2,0,1
17,11.7,30.0,1,0
18,12.4,32.3,1,1
19,15.6,33.4,1,1
20,15.3,33.4,1,1
21,16.4,19.4,0,1
22,12.8,18.5,1,0
23,12.0,24.3,1,1
24,15.4,28.4,1,1
25,15.6,26.9,1,1
26,13.3,22.2,1,1
27,12.9,28.0,1,1
28,15.1,24.3,1,1
29,13.6,24.1,0,1
30,15.1,20.4,0,0
31,11.6,26.3,1,0
32,16.6,24.2,0,1
33,13.3,26.5,1,0
34,14.5,21.8,1,1
35,16.3,26.8,1,1
36,17.2,25.8,0,1
37,16.5,28.2,1,0
38,15.0,29.4,1,1
39,14.9,24.8,1,1
40,11.8,18.5,1,1
41,11.7,21.5,1,1
42,9.6,20.3,1,1
43,8.9,27.1,1,1
44,10.1,29.9,0,1
45,15.5,21.1,0,0
46,10.8,21.7,1,0
47,7.5,20.9,1,1
48,12.8,21.0,0,1
49,12.6,23.1,0,0
50,14.8,29.5,0,0
51,19.9,22.0,0,0
52,9.2,20.4,1,0
53,12.4,24.4,0,1
54,11.3,21.7,1,0
55,9.8,26.3,1,1
56,14.3,26.7,0,1
57,15.1,28.3,1,0
58,14.4,31.6,1,1
59,15.4,35.0,1,1
60,13.8,33.5,1,1
61,13.6,34.2,1,1
62,14.3,35.0,1,1
63,15.9,23.4,1,1
64,16.7,25.3,1,1
65,12.1,27.5,1,1
66,14.3,34.1,1,1
67,16.5,33.9,1,1
68,16.5,30.3,1,1
69,17.5,29.9,1,1
70,14.7,34.2,1,1
71,17.5,35.8,1,1
72,20.9,35.7,0,1
73,17.0,33.8,1,0
74,16.0,22.8,1,1
75,15.4,33.8,1,1
76,17.9,33.2,0,1
77,15.2,25.1,1,0
78,15.1,20.4,0,1
79,15.3,19.6,0,0
80,17.2,24.7,1,0
81,15.9,19.9,1,1
82,10.0,22.5,1,1
83,9.9,24.4,1,1
84,10.3,27.8,1,1
85,15.4,25.7,1,1
86,12.7,28.8,1,1
87,13.2,31.3,1,1
88,15.3,33.2,1,1
89,17.9,33.9,1,1
90,18.0,34.9,0,1
91,17.6,27.8,0,0
92,16.0,23.8,1,0
93,14.9,28.8,1,1
94,17.1,29.6,0,1
95,18.2,22.6,0,0
96,16.8,22.8,1,0
97,13.6,27.4,1,1
98,14.5,24.2,0,1
99,12.4,19.9,1,0
100,10.4,20.9,1,1
101,9.1,23.1,1,1
102,8.9,26.0,0,1
103,14.5,24.2,0,0
104,12.6,18.2,1,0
105,8.6,24.2,1,1
106,10.8,25.2,1,1
107,11.2,26.1,1,1
108,12.1,24.1,1,1
109,10.8,25.8,1,1
110,11.4,27.1,1,1
111,12.0,28.9,0,1
112,16.3,24.8,0,0
114,12.7,25.1,1,1
115,12.0,23.8,1,1
116,11.5,25.9,1,1
117,13.0,28.2,1,1
119,14.8,17.3,0,1
120,7.7,18.4,1,0
121,4.4,21.8,1,1
122,7.4,24.4,1,1
123,8.3,27.3,1,1
124,10.1,28.2,1,1
125,12.0,27.6,1,1
126,12.9,31.8,1,1
128,9.5,27.4,1,0
129,12.1,27.8,1,1
130,12.5,31.7,1,1
131,13.9,34.7,1,1
132,13.3,31.7,1,1
133,13.2,33.1,1,1
134,12.3,33.8,1,1
135,13.8,35.2,1,1
136,11.3,32.3,1,1
137,11.7,30.2,1,1
139,15.1,26.2,1,1
141,13.0,14.8,1,1
142,11.6,19.6,1,1
143,12.8,24.9,1,1
144,15.5,22.4,0,1
145,13.1,17.4,0,0
146,12.6,20.2,1,0
147,4.4,18.3,1,1
148,4.4,18.2,1,1
149,7.1,18.5,1,1
150,4.2,18.9,1,1
151,9.6,18.8,1,1
152,3.5,21.8,1,1
153,5.3,23.3,0,1
154,7.0,14.3,1,0
155,0.4,18.9,1,1
156,3.2,21.4,1,1
157,5.9,21.8,1,1
158,8.1,20.5,1,1
159,6.9,18.9,1,1
160,5.6,19.5,1,1
161,7.2,22.9,1,1
162,7.1,23.4,1,1
163,6.1,24.1,0,1
164,7.1,19.8,0,0
165,5.6,18.0,1,0
166,5.4,20.7,1,1
167,6.3,19.3,1,1
168,5.3,21.0,1,1
169,7.9,19.7,1,1
170,8.4,16.1,1,1
171,8.1,18.7,1,1
172,2.4,20.6,1,1
173,5.6,18.9,1,1
175,2.5,21.2,1,1
177,3.8,21.7,1,1
178,7.9,18.7,0,1
179,4.3,11.3,1,0
181,-1.8,14.8,1,1
182,3.8,13.8,1,1
183,2.1,17.3,1,1
184,0.5,17.1,1,1
185,-0.9,16.7,1,1
186,0.4,19.0,1,1
187,7.5,16.8,1,1
188,8.3,17.6,1,1
190,0.1,21.0,1,1
191,1.5,20.9,1,1
192,8.3,17.4,1,1
