Engine Size(L),Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km)
2.0,4,9.9,6.7,8.5,196
2.4,4,11.2,7.7,9.6,221
1.5,4,6.0,5.8,5.9,136
3.5,6,12.7,9.1,11.1,255
3.5,6,12.1,8.7,10.6,244
3.5,6,11.9,7.7,10.0,230
3.5,6,11.8,8.1,10.1,232
3.7,6,12.8,9.0,11.1,255
3.7,6,13.4,9.5,11.6,267
2.4,4,10.6,7.5,9.2,212
2.4,4,11.2,8.1,9.8,225
3.5,6,12.1,8.3,10.4,239
1.8,4,9.7,6.9,8.4,193
5.9,12,18.0,12.6,15.6,359
5.9,12,18.0,12.6,15.6,359
4.7,8,17.4,11.3,14.7,338
4.7,8,18.1,12.2,15.4,354
4.7,8,17.4,11.3,14.7,338
4.7,8,18.1,12.2,15.4,354
5.9,12,18.0,12.6,15.6,359
2.0,4,9.9,7.4,8.8,202
2.0,4,11.5,8.1,10.0,230
2.0,4,10.8,7.5,9.3,214
2.0,4,11.5,8.1,10.0,230
2.0,4,11.5,8.1,10.0,230
2.0,4,10.8,7.5,9.3,214
2.0,4,12.0,8.1,10.2,235
3.0,6,12.8,8.6,10.9,251
3.0,6,9.8,6.2,8.1,217
3.0,6,13.3,8.5,11.2,262
3.0,6,9.8,6.2,8.1,217
3.0,6,13.1,8.8,11.2,258
4.0,8,13.7,8.3,11.3,265
3.0,6,9.8,6.5,8.4,224
3.0,6,13.1,8.8,11.2,258
4.0,8,14.7,9.7,12.5,288
6.3,12,18.7,11.5,15.5,363
3.0,6,9.8,6.5,8.4,224
2.0,4,11.8,8.8,10.5,242
2.0,4,12.0,8.5,10.4,239
3.0,6,12.9,9.2,11.2,258
3.0,6,10.2,7.8,9.0,244
2.0,4,9.9,8.3,9.2,212
3.0,6,15.1,10.9,13.2,304
3.0,6,12.4,8.7,10.7,290
4.2,8,17.6,11.0,14.6,336
4.2,8,21.2,13.4,17.7,407
5.2,10,18.2,10.6,14.8,347
5.2,10,21.1,13.8,17.8,409
4.2,8,17.6,11.0,14.6,336
4.2,8,21.2,13.4,17.7,407
5.2,10,18.2,10.6,14.8,347
5.2,10,21.1,13.8,17.8,409
4.2,8,15.3,10.9,13.3,306
4.2,8,15.2,11.3,13.4,308
4.0,8,15.5,8.8,12.5,293
3.0,6,13.2,9.2,11.4,262
3.0,6,14.6,9.8,12.4,285
3.0,6,13.2,9.2,11.4,262
3.0,6,14.6,9.8,12.4,285
3.0,6,13.3,9.5,11.6,267
4.0,8,14.2,9.7,12.2,281
4.0,8,14.2,9.7,12.2,281
4.0,8,15.8,9.2,12.8,300
3.0,6,14.9,10.1,12.7,292
2.0,4,10.4,7.6,9.1,209
2.0,4,10.4,7.6,9.1,209
2.0,4,11.5,8.8,10.3,237
2.0,4,11.5,8.8,10.3,237
4.0,8,16.3,9.8,13.4,314
6.0,12,18.8,11.5,15.5,356
4.0,8,17.4,10.2,14.2,332
6.0,12,20.0,12.2,16.5,380
6.0,12,20.0,12.2,16.5,380
6.0,12,20.3,11.9,16.5,388
6.8,8,22.3,14.9,19.0,437
2.0,4,10.0,6.5,8.4,193
2.0,4,10.4,6.7,8.7,200
2.0,4,10.2,7.0,8.8,202
2.0,4,7.6,5.5,6.7,181
2.0,4,7.6,5.5,6.7,181
2.0,4,10.0,6.5,8.4,193
2.0,4,10.4,6.7,8.7,200
2.0,4,10.6,7.2,9.1,209
2.0,4,10.6,7.2,9.1,209
2.0,4,10.6,7.2,9.1,209
3.0,6,11.4,7.3,9.6,221
3.0,6,11.8,7.9,10.0,230
3.0,6,11.7,7.8,9.9,228
3.0,6,11.9,8.3,10.3,237
3.0,6,11.9,8.0,10.1,232
2.0,4,10.0,6.5,8.4,193
2.0,4,10.4,6.7,8.7,200
2.0,4,10.6,7.2,9.1,209
3.0,6,11.4,7.3,9.6,221
3.0,6,11.8,7.9,10.0,230
3.0,6,11.7,7.8,9.9,228
3.0,6,11.9,8.3,10.3,237
2.0,4,10.2,7.0,8.8,202
2.0,4,10.6,7.2,9.1,209
3.0,6,9.2,6.4,7.9,213
3.0,6,11.9,8.0,10.1,232
3.0,6,12.5,8.6,10.7,246
4.4,8,14.4,9.6,12.2,281
4.4,8,15.0,9.8,12.7,292
3.0,6,11.9,8.0,10.1,232
4.4,8,15.0,9.8,12.7,292
4.4,8,14.4,9.6,12.2,281
4.4,8,15.0,9.8,12.7,292
3.0,6,12.5,8.6,10.7,246
4.4,8,15.0,9.8,12.7,292
4.4,8,15.0,9.8,12.7,292
6.0,12,18.7,11.5,15.5,356
3.0,6,9.2,7.1,8.3,191
3.0,6,10.5,7.9,9.3,214
3.0,6,10.5,7.6,9.2,212
4.4,8,15.0,9.8,12.7,292
4.4,8,15.0,9.8,12.7,292
4.4,8,17.3,11.5,14.7,338
4.4,8,16.2,10.9,13.8,317
4.4,8,17.3,11.5,14.7,338
4.4,8,16.2,10.9,13.8,317
4.4,8,17.3,11.5,14.7,338
4.4,8,16.2,10.9,13.8,317
4.4,8,17.3,11.5,14.7,338
4.4,8,16.2,10.9,13.8,317
2.0,4,10.6,7.2,9.1,209
3.0,6,13.2,8.9,11.3,260
2.0,4,11.2,8.5,10.0,230
3.0,6,12.6,9.1,11.0,253
3.0,6,12.9,8.8,11.1,255
4.4,8,16.3,10.9,13.9,320
4.4,8,18.1,13.7,16.1,370
3.0,6,13.6,9.8,11.9,274
4.4,8,16.4,11.3,14.1,324
2.0,4,10.8,7.1,9.1,209
2.0,4,10.4,6.7,8.7,200
3.0,6,13.7,10.1,12.1,278
3.0,6,12.7,9.0,11.0,253
3.0,6,13.7,10.1,12.1,278
3.6,6,14.3,9.9,12.3,283
3.6,6,14.6,10.2,12.6,290
1.4,4,9.5,7.2,8.5,196
1.4,4,10.2,8.0,9.2,212
3.6,6,13.7,8.7,11.5,264
3.6,6,18.4,12.2,15.6,250
3.6,6,13.7,8.9,11.5,264
3.6,6,19.4,13.0,16.5,264
2.4,4,9.6,6.5,8.2,189
2.0,4,11.5,7.9,9.9,228
2.0,4,11.6,7.5,9.8,225
2.0,4,12.3,8.7,10.7,246
2.4,4,9.6,6.5,8.2,189
2.0,4,11.5,7.9,9.9,228
2.0,4,11.6,7.5,9.8,225
2.4,4,11.3,7.4,9.5,218
2.0,4,11.3,7.5,9.6,221
2.0,4,12.1,7.9,10.2,235
2.5,4,10.5,7.2,9.0,207
3.6,6,12.8,8.5,10.9,251
2.0,4,11.8,8.1,10.1,232
3.6,6,13.1,9.0,11.3,260
3.6,6,13.2,8.7,11.2,258
3.6,6,13.3,9.0,11.4,262
2.0,4,11.9,7.9,10.1,232
3.6,6,12.9,8.2,10.8,248
2.0,4,12.6,8.5,10.8,248
3.6,6,13.1,9.0,11.3,260
3.6,6,15.1,9.9,12.8,294
3.0,6,12.7,8.9,11.0,253
3.6,6,13.3,8.9,11.3,260
3.0,6,12.8,9.1,11.1,255
3.6,6,13.3,9.0,11.4,262
6.2,8,19.7,12.9,16.6,382
6.2,8,16.7,12.5,14.8,340
6.2,8,19.7,12.9,16.6,382
6.2,8,16.7,12.5,14.8,340
6.2,8,19.7,12.9,16.6,382
6.2,8,16.7,12.5,14.8,340
6.2,8,17.0,11.8,14.7,338
6.2,8,23.3,16.1,20.1,322
6.2,8,18.8,13.4,16.4,377
6.2,8,25.7,17.8,22.1,354
3.6,6,14.3,9.8,12.3,283
3.6,6,14.8,10.4,12.8,294
3.6,6,13.6,8.6,11.4,262
3.6,6,14.0,9.1,11.8,271
3.6,6,14.8,9.8,12.6,290
3.6,6,13.2,8.7,11.2,258
3.6,6,14.2,8.6,11.7,269
3.6,6,12.7,7.9,10.5,242
6.2,8,15.3,9.8,12.8,294
6.2,8,15.0,9.9,12.7,292
6.2,8,19.7,12.9,16.6,382
6.2,8,16.7,12.5,14.8,340
6.2,8,14.9,8.5,12.0,276
6.2,8,13.7,8.2,11.2,258
1.4,4,9.1,6.3,7.8,179
1.4,4,9.1,6.3,7.8,179
1.8,4,10.5,6.7,8.8,202
