Date,Open,High,Low,Close,Adj Close,Volume
2015-10-22,57.070000,58.200001,55.700001,56.750000,53.604126,4545100
2015-10-23,57.770000,58.000000,56.270000,56.380001,53.254635,1967600
2015-10-26,57.000000,57.000000,54.540001,55.020000,51.970028,1466300
2015-10-27,54.799999,54.990002,49.360001,53.849998,50.864880,5949200
2015-10-28,54.020000,54.160000,50.099998,51.869999,48.994644,2411300
2015-10-29,51.869999,52.470001,50.757000,51.020000,48.191765,1362800
2015-10-30,51.560001,51.799999,49.660000,50.430000,47.634468,1355100
2015-11-02,50.860001,53.169998,49.889999,53.080002,50.137573,890200
2015-11-03,53.090000,55.000000,52.119999,52.380001,49.476379,1022400
2015-11-04,52.959999,54.040001,52.750000,53.439999,50.477608,753300
2015-11-05,53.450001,53.849998,51.610001,51.740002,48.871853,820200
2015-11-06,52.200001,52.430000,51.799999,52.430000,49.523602,513500
2015-11-09,52.820000,53.650002,52.000000,53.200001,50.250923,442800
2015-11-10,53.700001,54.000000,53.090000,54.000000,51.006573,376800
2015-11-11,54.000000,54.500000,53.029999,54.340000,51.327724,471500
2015-11-12,54.330002,54.400002,53.259998,54.119999,51.119919,379300
2015-11-13,53.950001,53.950001,50.520000,51.400002,48.550701,1337000
2015-11-16,51.950001,51.950001,48.830002,49.509998,46.765469,1297500
2015-11-17,50.279999,50.770000,48.810001,48.980000,46.264851,897300
2015-11-18,49.389999,49.473999,47.209999,47.279999,44.659084,1102000
2015-11-19,47.459999,47.860001,45.830002,47.599998,44.961342,2163800
2015-11-20,47.869999,48.490002,47.619999,48.080002,45.414742,542500
2015-11-23,48.099998,48.290001,45.980000,46.000000,43.450043,1389000
2015-11-24,46.000000,46.459999,44.650002,46.279999,43.714520,1036600
2015-11-25,46.500000,46.830002,45.500000,45.660000,43.128887,868900
2015-11-27,45.590000,46.419998,45.400002,46.060001,43.506714,285300
2015-11-30,46.299999,46.869999,45.880001,46.349998,43.780640,566400
2015-12-01,46.500000,48.259998,46.439999,47.639999,44.999130,667100
2015-12-02,47.880001,48.127998,46.849998,47.209999,44.592960,614800
2015-12-03,47.439999,47.860001,46.250000,47.060001,44.451283,528500
2015-12-04,47.340000,48.849998,47.090000,48.549999,45.858685,583200
2015-12-07,48.650002,50.389999,47.509998,47.990002,45.329731,861400
2015-12-08,48.490002,49.000000,47.000000,47.619999,44.980236,842500
2015-12-09,47.439999,49.439999,47.139999,47.750000,45.103031,507600
2015-12-10,48.070000,49.360001,47.880001,48.980000,46.264851,526800
2015-12-11,48.009998,49.220001,47.594002,48.790001,46.085384,480300
2015-12-14,48.049999,48.700001,46.000000,46.930000,44.328487,699400
2015-12-15,46.930000,49.090000,46.900002,47.549999,44.914116,760700
2015-12-16,48.320000,48.970001,47.290001,48.500000,45.811459,534500
2015-12-17,48.650002,48.990002,47.020000,47.480000,44.848000,547100
2015-12-18,46.959999,47.480000,46.000000,46.360001,43.790085,461200
2015-12-21,46.250000,47.799999,46.090000,47.410000,44.781883,623100
2015-12-22,47.480000,48.730000,46.560001,46.619999,44.035671,448500
2015-12-23,47.040001,47.990002,46.810001,47.049999,44.441837,232200
2015-12-24,46.619999,47.509998,46.610001,46.750000,44.158466,150600
