year,month,source,fuel_type,emissions_tons
1987,1,transport,oil,1588.61
1987,2,transport,oil,1428.29
1987,3,transport,oil,1581.16
1987,4,transport,oil,1557.4
1987,5,transport,oil,1513.35
1987,6,transport,oil,1465.69
1987,7,transport,oil,1542.77
1987,8,transport,oil,1493.17
1987,9,transport,oil,1406.57
1987,10,transport,oil,1503.36
1987,11,transport,oil,1460.19
1987,12,transport,oil,1551.44
1988,1,transport,oil,1767.64
1988,2,transport,oil,1704.75
1988,3,transport,oil,1872.79
1988,4,transport,oil,1798.04
1988,5,transport,oil,1734.7
1988,6,transport,oil,1757.52
1988,7,transport,oil,1717.99
1988,8,transport,oil,1748.65
1988,9,transport,oil,1682.44
1988,10,transport,oil,1637.48
1988,11,transport,oil,1729.29
1988,12,transport,oil,1895.82
1989,1,transport,oil,2069.27
1989,2,transport,oil,1914.9
1989,3,transport,oil,2228.95
1989,4,transport,oil,2163.71
1989,5,transport,oil,2189.01
1989,6,transport,oil,2097.96
1989,7,transport,oil,2107.53
1989,8,transport,oil,2095.09
1989,9,transport,oil,1995.35
1989,10,transport,oil,2029.26
1989,11,transport,oil,2089.01
1989,12,transport,oil,2222.37
1990,1,transport,oil,2415.54
1990,2,transport,oil,2219.57
1990,3,transport,oil,2477.71
1990,4,transport,oil,2352.33
1990,5,transport,oil,2396.02
1990,6,transport,oil,2351.43
1990,7,transport,oil,2353.07
1990,8,transport,oil,2540.02
1990,9,transport,oil,2429.25
1990,10,transport,oil,2183.88
1990,11,transport,oil,2287.4
1990,12,transport,oil,2348.23
1991,1,transport,oil,2650.84
1991,2,transport,oil,2321.37
1991,3,transport,oil,2522.32
1991,4,transport,oil,2496.3
1991,5,transport,oil,2498.86
1991,6,transport,oil,2410.31
1991,7,transport,oil,2475.9
1991,8,transport,oil,2456.54
1991,9,transport,oil,2198.19
1991,10,transport,oil,2245.9
1991,11,transport,oil,2310.31
1991,12,transport,oil,2391.25
1992,1,transport,oil,2534.59
1992,2,transport,oil,2476.01
1992,3,transport,oil,2632.69
1992,4,transport,oil,2586.91
1992,5,transport,oil,2590.61
1992,6,transport,oil,2534.79
1992,7,transport,oil,2526.81
1992,8,transport,oil,2467.68
1992,9,transport,oil,2467.49
