Open,High,Low,Close,Adj Close,Volume
13.9,13.95,13.25,13.8,7.047638,4786000.0
14.0,14.6,13.9,14.3,7.302985,7563000.0
14.3,14.55,13.8,14.25,7.277451,12849000.0
14.3,14.3,13.8,13.8,7.047638,7086400.0
13.7,13.8,13.0,13.5,6.894429,8880000.0
13.3,13.4,12.65,12.75,6.511404,8578700.0
12.5,12.7,11.5,12.45,6.358195,14612000.0
12.2,12.5,10.95,11.05,5.643216,23991000.0
10.2,10.5,8.2,9.15,4.67289,84251100.0
9.7,11.0,9.65,10.6,5.413401,76065300.0
11.4,13.1,11.2,12.65,6.460333,77722660.0
13.2,13.3,12.0,12.05,6.153915,33525000.0
11.3,12.5,11.1,12.5,6.383729,41255340.0
12.3,12.75,11.9,12.1,6.17945,36403500.0
11.5,11.8,11.0,11.6,5.924101,58433000.0
11.3,11.45,10.95,11.0,5.61768,35119000.0
9.5,9.65,8.5,9.25,4.723959,85957000.0
9.95,10.5,9.3,9.35,4.77503,64691600.0
10.1,10.2,9.0,9.1,4.647356,49366556.0
8.8,9.05,8.4,8.9,4.545217,45339452.0
8.8,8.8,7.75,7.9,4.034517,69629720.0
8.55,8.7,7.9,8.05,4.111121,40507000.0
8.05,8.25,7.85,8.15,4.162191,29954600.0
8.3,9.05,8.2,9.0,4.596285,47033000.0
9.55,10.0,9.4,9.8,5.004843,64571000.0
9.4,9.5,9.05,9.35,4.77503,37024450.0
9.0,9.3,8.85,9.05,4.62182,25944000.0
9.1,9.25,9.0,9.1,4.647356,21555000.0
9.25,9.35,8.55,8.6,4.392006,23719000.0
8.55,8.75,8.25,8.3,4.238798,26541000.0
8.3,8.8,8.2,8.6,4.392006,36507000.0
8.65,9.1,8.55,8.75,4.468609,19602116.0
8.9,9.2,8.8,9.1,4.647356,42184000.0
9.4,9.45,8.9,8.9,4.545217,52982120.0
8.7,8.9,8.45,8.65,4.41754,44802000.0
8.7,9.1,8.5,9.0,4.596285,40255800.0
9.0,9.0,8.6,8.65,4.41754,29216000.0
8.6,8.85,8.4,8.55,4.366472,27850100.0
8.15,8.35,8.0,8.1,4.136657,51355000.0
8.35,8.4,7.25,7.5,3.830238,63911000.0
7.35,7.55,7.2,7.5,3.830238,37080000.0
7.6,7.7,7.25,7.6,3.881308,20950000.0
8.0,8.2,7.8,7.9,4.034517,45968025.0
7.95,8.4,7.8,8.3,4.238798,26051400.0
8.7,8.9,8.4,8.55,4.366472,40573530.0
9.0,9.2,8.75,8.85,4.519681,66029375.0
8.85,9.4,8.75,9.35,4.77503,64752150.0
9.4,9.4,8.65,8.75,4.468609,42946000.0
8.6,9.0,8.55,8.9,4.545217,21588000.0
9.05,9.15,8.9,9.05,4.62182,28737000.0
8.9,9.05,8.8,8.85,4.519681,18470150.0
9.0,9.05,8.7,8.8,4.494144,17510000.0
8.85,8.9,8.5,8.55,4.366472,21066000.0
8.5,8.6,8.0,8.25,4.213261,82621000.0
8.25,8.4,8.15,8.2,4.187727,34321200.0
8.5,8.5,8.15,8.15,4.162191,28415000.0
8.1,8.35,8.0,8.2,4.187727,32681000.0
8.25,8.3,7.9,7.9,4.034517,31684880.0
7.8,8.25,7.7,8.0,4.085588,38308000.0
8.0,8.05,7.8,7.8,3.99243,9244000.0
8.0,8.0,7.6,7.65,3.915652,22641000.0
7.65,7.7,7.45,7.6,3.89006,28191000.0
7.65,7.95,7.55,7.6,3.89006,26012000.0
7.5,7.6,7.45,7.55,3.864468,20239000.0
7.6,7.65,7.4,7.45,3.813283,8869590.0
7.45,7.7,7.4,7.45,3.813283,14422000.0
7.45,7.7,7.4,7.65,3.915652,39019000.0
7.55,7.65,7.15,7.3,3.736506,42316800.0
7.35,7.4,6.9,7.15,3.659727,48966000.0
7.15,7.45,7.0,7.3,3.736506,34434000.0
7.25,7.7,7.2,7.7,3.941244,40361490.0
7.85,7.95,7.7,7.95,4.069208,46583992.0
8.1,8.4,8.0,8.05,4.120393,55530000.0
8.3,8.35,7.65,7.75,3.966838,41923208.0
8.45,8.6,8.0,8.15,4.171577,78652690.0
8.2,8.6,7.95,8.45,4.325132,98432575.0
8.2,8.6,7.95,8.45,4.325132,98432575.0
8.5,8.7,8.35,8.6,4.40191,38162000.0
8.8,9.1,8.7,9.05,4.632243,67199000.0
9.0,9.2,8.9,8.95,4.581058,49922207.0
8.9,9.15,8.7,8.85,4.529873,39806000.0
9.0,9.05,8.7,8.75,4.478687,22686718.0
8.7,8.7,8.35,8.45,4.325132,27362000.0
8.4,8.65,8.25,8.6,4.40191,24817000.0
8.4,8.9,8.35,8.8,4.50428,42663500.0
9.0,10.15,8.8,9.85,5.041723,123397000.0
9.45,9.7,9.15,9.25,4.734612,69602684.0
9.15,9.45,9.05,9.15,4.683428,35097000.0
9.25,9.4,9.1,9.25,4.734612,45482000.0
9.45,9.45,9.2,9.25,4.734612,26206960.0
9.3,9.3,8.8,8.9,4.555466,34288000.0
9.0,9.15,8.6,8.95,4.581058,23223000.0
9.0,9.1,8.8,9.0,4.60665,20236000.0
9.0,9.0,8.8,8.9,4.555466,11165990.0
9.1,9.1,8.65,8.7,4.453095,8600516.0
8.8,8.9,8.7,8.7,4.453095,7798000.0
8.75,8.75,8.45,8.65,4.427502,21743500.0
8.65,9.1,8.65,8.85,4.529873,27107000.0
8.8,9.1,8.75,9.0,4.60665,19715000.0
9.05,9.3,8.9,9.15,4.683428,19460000.0
9.2,9.3,8.55,8.7,4.453095,41579700.0
8.8,8.9,8.5,8.65,4.427502,12895000.0
8.7,8.75,8.55,8.65,4.427502,8144000.0
8.7,8.7,8.5,8.55,4.376319,4720000.0
8.7,8.75,8.5,8.65,4.427502,9980000.0
8.6,8.7,8.3,8.4,4.29954,14356800.0
8.4,8.5,8.2,8.3,4.248357,10758000.0
8.45,8.5,8.3,8.35,4.273948,10753200.0
8.5,8.7,8.4,8.6,4.40191,14564600.0
8.7,8.95,8.7,8.75,4.478687,19150500.0
8.9,8.9,8.55,8.6,4.40191,8804000.0
8.6,8.65,8.45,8.45,4.325132,7874000.0
8.5,8.6,8.35,8.35,4.273948,8250000.0
8.3,8.35,8.2,8.3,4.248357,10399000.0
8.15,8.25,8.0,8.2,4.197171,13006600.0
8.05,8.2,7.8,8.0,4.094802,25023900.0
8.1,8.4,8.0,8.2,4.197171,32598400.0
8.0,8.05,7.8,7.95,4.069208,23801000.0
7.8,7.8,7.35,7.5,3.838875,49722900.0
7.55,7.7,7.25,7.25,3.710912,26800100.0
7.1,7.2,6.65,6.75,3.454988,35645684.0
6.65,6.75,5.9,6.0,3.0711,51563784.0
6.4,7.25,6.4,7.15,3.659727,50071440.0
7.15,7.15,6.8,7.05,3.608542,21802897.0
6.9,7.2,6.85,7.15,3.659727,23129500.0
7.2,7.45,7.0,7.25,3.710912,16269153.0
7.55,7.6,7.3,7.4,3.78769,14267591.0
7.2,7.3,7.0,7.25,3.710912,13572100.0
7.1,7.15,6.9,7.0,3.582949,14917000.0
7.15,7.25,7.0,7.0,3.582949,14367200.0
6.8,6.9,6.6,6.7,3.429394,23093028.0
6.7,6.8,6.5,6.7,3.429394,12015000.0
6.5,6.55,6.2,6.25,3.199062,22575000.0
6.1,6.25,5.75,6.25,3.199062,29933800.0
5.6,6.05,5.6,5.95,3.045507,25778000.0
6.35,6.35,6.0,6.1,3.122284,11883000.0
5.75,5.9,5.15,5.6,2.86636,27209268.0
5.6,5.7,5.2,5.7,2.917544,32106524.0
6.35,6.4,6.15,6.25,3.199062,54620690.0
6.25,6.6,6.15,6.45,3.301432,28439000.0
6.55,6.55,6.2,6.25,3.199062,13399876.0
6.3,6.4,6.15,6.2,3.17347,14968379.0
6.0,6.2,5.8,6.15,3.147877,18749000.0
6.4,6.6,6.35,6.45,3.301432,24212000.0
6.4,6.9,6.4,6.6,3.378209,46033280.0
6.85,6.95,6.6,6.7,3.429394,24053040.0
6.7,6.7,6.35,6.4,3.275839,25518066.0
6.6,6.8,6.55,6.6,3.378209,18047000.0
6.75,7.0,6.65,6.8,3.48058,34341456.0
6.8,6.9,6.65,6.85,3.506172,10958000.0
6.9,7.2,6.8,6.9,3.531765,30605000.0
6.7,6.9,6.7,6.8,3.48058,11811000.0
6.75,6.85,6.45,6.55,3.352617,22810000.0
6.2,6.25,5.85,5.9,3.019915,43940000.0
6.0,6.3,5.95,6.3,3.224655,21710590.0
6.55,6.55,6.25,6.25,3.199062,18725918.0
6.3,6.5,6.3,6.45,3.301432,11476000.0
6.3,6.4,6.2,6.25,3.199062,14476930.0
6.2,6.25,6.1,6.15,3.153426,12284000.0
6.0,6.2,5.95,6.2,3.179066,12843600.0
6.2,6.2,6.0,6.1,3.127789,18453676.0
5.9,6.0,5.8,5.95,3.050877,28535000.0
5.9,5.95,5.75,5.8,2.973964,22858880.0
5.95,6.0,5.5,5.95,3.050877,20554000.0
5.85,5.9,5.75,5.8,2.973964,10677000.0
5.8,5.8,5.45,5.55,2.845777,25848450.0
5.45,5.5,5.15,5.3,2.717589,19641450.0
5.2,5.65,5.05,5.6,2.871414,34912200.0
5.6,5.75,5.55,5.75,2.948327,18084800.0
5.7,6.0,5.5,5.85,2.999602,16457610.0
6.45,6.5,6.1,6.2,3.179066,37818000.0
