gameId,gameDuraton,blueWins,blueFirstBlood,blueFirstTower,blueFirstBaron,blueFirstDragon,blueFirstInhibitor,blueDragonKills,blueBaronKills,blueTowerKills,blueInhibitorKills,blueWardPlaced,blueWardkills,blueKills,blueDeath,blueAssist,blueChampionDamageDealt,blueTotalGold,blueTotalMinionKills,blueTotalLevel,blueAvgLevel,blueJungleMinionKills,blueKillingSpree,blueTotalHeal,blueObjectDamageDealt,redWins,redFirstBlood,redFirstTower,redFirstBaron,redFirstDragon,redFirstInhibitor,redDragonKills,redBaronKills,redTowerKills,redInhibitorKills,redWardPlaced,redWardkills,redKills,redDeath,redAssist,redChampionDamageDealt,redTotalGold,redTotalMinionKills,redTotalLevel,redAvgLevel,redJungleMinionKills,redKillingSpree,redTotalHeal,redObjectDamageDealt
4240956446,853,1,1,1,0,1,1,1,0,9,1,9,0,47,7,42,61285,38969,310,51,10.2,72,6,10847,37076,0,0,0,0,0,0,0,0,0,0,0,1,6,47,5,18008,16237,128,40,8.0,0,0,2529,738
4244283320,1602,0,0,0,0,1,0,3,0,3,0,70,34,18,38,31,53362,48704,631,65,13.0,181,4,17999,38392,1,1,1,1,0,1,0,1,10,2,109,31,38,18,72,91399,61950,612,73,14.6,125,8,14543,61845
4221027682,1980,0,1,1,0,1,0,4,0,3,0,83,33,25,32,46,81794,57306,710,78,15.6,151,5,41030,39330,1,0,0,1,0,1,0,2,8,2,87,50,32,25,54,110757,67965,778,83,16.6,246,7,26498,86813
4232452599,1236,0,0,1,0,1,0,1,0,2,0,51,22,8,23,10,34607,31593,424,50,10.0,97,1,9103,20028,1,1,0,0,0,1,2,0,9,2,58,18,23,8,33,48218,42182,475,58,11.6,117,5,23023,47860
4181263633,1390,0,0,0,0,1,0,1,0,0,0,56,33,15,25,16,54527,36842,475,59,11.8,105,5,19628,22239,1,1,1,0,0,0,2,0,5,0,78,19,25,15,41,70065,46003,532,64,12.8,138,8,17836,40637
4251258054,1628,0,0,0,0,1,0,2,0,3,0,93,33,21,25,49,71265,47873,626,65,13.0,133,5,26006,32811,1,1,1,0,0,1,2,0,8,1,71,34,25,21,48,76954,54030,653,66,13.2,174,7,22440,50411
4248681592,1536,0,1,0,0,0,0,0,0,2,0,50,12,11,28,13,45219,40157,564,62,12.4,101,3,32663,11296,1,0,1,1,1,1,3,1,10,1,52,16,28,12,51,76034,53671,574,71,14.2,205,5,27823,73934
4250427146,803,0,0,0,0,0,0,0,0,0,0,16,1,0,13,0,9813,16572,256,34,6.8,45,0,7950,3483,1,1,1,0,1,1,1,0,6,1,23,2,13,1,21,17347,27992,334,42,8.4,67,4,6750,30173
4157124455,1656,1,0,0,0,0,0,2,0,4,0,76,21,21,15,35,67670,50656,663,71,14.2,179,4,30834,28176,0,1,1,0,1,0,2,0,6,0,51,46,15,21,17,65158,50501,723,65,13.0,154,5,24688,47856
4213485087,1651,0,0,0,0,0,0,0,0,4,0,45,5,20,38,16,60493,44195,490,60,12.0,80,4,7720,16071,1,1,1,1,1,1,3,1,8,1,49,13,38,20,62,85440,55602,510,76,15.2,168,8,21299,58803
4208301086,2328,1,0,0,0,1,0,4,1,7,1,111,32,48,36,88,133458,75675,670,89,17.8,242,13,47916,86543,0,1,1,1,0,1,1,1,8,1,91,38,36,48,42,137308,71165,668,81,16.2,228,7,27179,74018
4157145878,1042,1,0,1,1,0,1,2,1,7,1,45,5,49,42,23,105927,74083,452,86,17.2,48,10,18203,69763,0,1,0,0,1,0,1,0,4,0,36,0,42,49,46,89463,68430,386,72,14.4,48,9,9445,32228
4179246121,1718,1,1,1,1,0,1,2,1,8,1,72,29,25,15,44,75056,55343,640,70,14.0,177,6,21006,57133,0,0,0,0,1,0,1,0,3,0,72,18,15,25,31,71124,50509,582,67,13.4,173,5,30341,19767
4232707875,2021,1,1,1,1,0,1,4,2,9,3,138,46,43,29,67,98775,74118,697,83,16.6,227,12,29506,80217,0,0,0,0,1,0,1,0,3,0,93,46,29,44,47,94880,60364,734,77,15.4,167,7,14043,36609
4188002660,1248,0,0,0,0,0,0,0,0,2,0,0,0,36,47,100,105681,62446,262,87,17.4,0,9,28244,5061,1,1,1,0,0,1,0,0,4,2,0,0,47,36,133,114742,66304,244,90,18.0,0,12,25463,9026
4091103602,2058,1,1,1,1,1,1,4,1,9,3,74,21,45,38,75,137384,71867,634,81,16.2,207,13,37226,74631,0,0,0,0,0,0,1,0,5,0,96,21,38,45,58,117289,70345,714,80,16.0,164,12,33298,44877
4160830783,2111,1,0,1,1,1,1,3,1,9,2,81,44,26,26,49,112825,65147,679,78,15.6,251,6,63658,110432,0,1,0,0,0,0,3,0,5,1,83,28,26,26,54,91570,64836,699,73,14.6,206,5,34678,37495
4058576648,1485,0,1,1,0,1,0,1,0,3,0,47,26,13,15,18,37625,41577,604,59,11.8,126,3,17958,34801,1,0,0,1,0,1,2,1,7,1,62,17,15,13,26,41774,47578,585,64,12.8,171,5,16343,50164
4176069153,1434,1,1,0,1,0,0,2,1,3,0,48,29,19,7,22,51147,44273,533,64,12.8,184,3,25101,49750,0,0,1,0,1,0,1,0,3,0,61,14,7,19,9,36634,37089,512,59,11.8,143,2,20383,27023
3985936881,1047,0,0,0,0,0,0,0,0,2,0,0,0,37,50,86,96041,55207,199,80,16.0,0,6,38467,5030,1,1,1,0,0,1,0,0,4,2,0,0,50,37,152,140158,59741,198,85,17.0,0,14,35325,10507
4162337865,1255,1,0,0,0,0,0,2,0,3,0,48,11,24,14,29,51627,39398,434,59,11.8,127,5,27855,29507,0,1,1,0,1,0,1,0,2,0,32,15,14,25,22,40991,36327,393,55,11.0,119,2,18719,34125
4195397342,1388,0,0,0,0,0,0,0,0,1,0,42,19,12,21,14,39507,36956,469,55,11.0,117,3,12304,18252,1,1,1,1,1,1,3,1,8,1,62,13,21,12,51,51486,44473,475,62,12.4,116,4,24112,58674
4209291316,1163,0,0,0,0,0,0,0,0,0,0,46,12,14,32,17,38708,32202,394,49,9.8,83,5,5275,9429,1,1,1,0,1,0,1,0,7,0,39,20,32,14,40,44441,43307,454,60,12.0,86,8,19309,40255
4184687173,1992,0,0,0,1,1,0,3,1,4,0,98,29,24,31,40,91880,57384,611,71,14.2,240,7,23587,58475,1,1,1,0,0,1,2,1,9,2,68,41,31,25,62,106370,63646,643,76,15.2,193,6,34854,76874
4162101391,2129,1,0,0,1,0,0,3,2,8,1,69,42,42,37,57,124612,77004,748,85,17.0,219,8,53959,88221,0,1,1,0,1,1,2,0,8,1,83,18,37,43,59,108489,65508,654,78,15.6,212,7,51845,63670
4141055641,934,0,0,0,0,0,0,0,0,0,0,47,7,10,15,10,19654,25638,367,46,9.2,63,3,9366,1849,1,1,1,0,1,0,2,0,4,0,35,9,15,11,15,33839,31761,411,49,9.8,68,4,7609,30436
4149760061,1435,0,0,0,0,0,0,0,0,0,0,64,14,8,22,10,50851,36051,545,58,11.6,117,1,17590,5705,1,1,1,0,1,1,3,0,11,3,51,25,22,8,28,66781,49579,635,66,13.2,157,6,23670,65161
4237772030,1571,1,0,0,0,0,1,1,0,7,1,63,22,37,20,67,80664,53704,589,71,14.2,123,7,24233,44897,0,1,1,0,1,0,2,0,2,0,49,16,20,37,27,60927,44391,508,62,12.4,140,7,15598,23341
4118286426,1424,0,0,0,0,0,0,1,0,1,0,47,24,12,19,11,38175,38185,553,58,11.6,115,4,14463,31297,1,1,1,1,1,1,2,1,9,1,64,13,19,12,32,60807,47008,579,64,12.8,154,4,11512,54779
4046724566,996,0,0,0,0,0,0,0,0,0,0,39,13,6,16,9,23955,24639,344,47,9.4,86,1,6657,6313,1,1,1,0,1,0,2,0,4,0,38,11,16,6,23,26838,35093,426,54,10.8,121,4,15928,31630
4223120473,1416,0,0,0,0,0,0,0,0,0,0,53,19,13,28,19,48133,38946,532,61,12.2,114,2,14685,15370,1,1,1,1,1,1,3,1,6,1,65,23,28,13,35,56399,52710,579,68,13.6,136,7,25512,66113
4213556107,2201,1,0,1,1,1,1,2,2,8,1,114,26,34,34,72,116092,73330,736,84,16.8,219,7,39697,72769,0,1,0,0,0,0,3,0,6,0,64,48,34,34,73,128207,68786,730,84,16.8,223,10,38727,62917
4094219334,950,1,1,1,0,1,0,2,0,2,0,33,4,17,3,21,32117,30940,393,48,9.6,82,5,13383,25482,0,0,0,0,0,0,0,0,0,0,23,4,3,17,2,18089,20608,297,40,8.0,56,1,7089,259
4168110993,1528,0,0,0,0,1,0,4,0,3,0,66,23,34,43,69,87795,49791,446,62,12.4,147,7,17262,45658,1,1,1,1,0,1,0,1,8,1,53,25,43,34,72,70986,59198,539,70,14.0,134,9,14268,53831
4198565460,1439,0,0,1,0,0,0,0,0,3,0,48,15,21,31,24,59022,42570,497,58,11.6,124,4,11255,22493,1,1,0,1,1,1,3,1,5,1,51,22,31,21,64,66955,53049,536,70,14.0,157,8,36778,55262
4177087222,1290,1,0,0,0,0,1,1,0,10,2,52,12,21,16,22,52723,44795,550,62,12.4,132,5,15277,45489,0,1,1,0,1,0,1,0,1,0,28,9,16,21,11,39705,35406,411,53,10.6,101,3,20166,13198
4216878398,1295,0,0,0,0,1,0,1,0,0,0,46,15,7,18,12,37145,32033,436,56,11.2,107,2,12961,19144,1,1,1,0,0,1,1,0,6,1,39,14,18,8,26,44511,40891,497,58,11.6,120,4,24390,50229
4162333064,1512,0,0,1,0,0,0,1,0,3,0,68,22,13,31,20,46750,40748,506,58,11.6,143,4,10738,37759,1,1,0,1,1,1,2,1,9,2,55,21,31,13,76,68114,51242,458,65,13.0,128,6,34469,52038
4159972909,952,0,0,0,0,0,0,0,0,0,0,26,6,4,15,3,22055,21725,316,43,8.6,77,0,12447,3353,1,1,1,0,1,0,2,0,4,0,33,8,15,4,13,30362,33382,437,53,10.6,87,4,9815,35668
4180651028,198,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2724,4256,38,11,2.2,0,0,426,84,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2841,4857,37,14,2.8,24,0,1575,420
4103162057,1323,1,0,1,1,0,1,1,1,6,1,59,26,27,20,34,62061,48182,558,66,13.2,137,6,36384,51657,0,1,0,0,1,0,2,0,1,0,54,20,20,27,43,51782,39128,478,59,11.8,99,5,15875,14908
3969140494,960,1,1,1,0,1,0,1,0,1,0,28,6,20,10,35,34501,31914,370,49,9.8,76,6,10159,24028,0,0,0,0,0,0,0,0,0,0,35,5,10,20,11,26113,25653,293,45,9.0,74,2,5176,1645
4171315832,1199,0,0,0,0,0,0,0,0,1,0,36,14,8,19,12,29528,30313,463,52,10.4,72,1,10436,20589,1,1,1,0,1,1,3,0,7,1,50,16,19,8,22,40755,42145,479,58,11.6,143,3,18113,45884
