Dim1,Dim2
-6.049435,5.2076087
-9.437351,-6.344295
-8.154972,-7.2666163
-6.305751,-3.3651562
-5.153016,-6.7978044
-5.082412,-11.479338
-4.74262,-6.353491
-3.6267178,-6.501888
-7.7849092,1.4298869
-1.1516428,-6.385086
-3.2550478,-11.269522
0.72980565,-6.2290397
-3.0615048,-10.785923
-0.33572885,-7.834724
1.7025965,-7.960783
0.38104734,-7.8887606
1.9345,-6.387722
-5.505277,7.6155705
-4.9019976,4.6443725
-4.208462,-1.6799365
-0.5821226,-3.3965023
-5.644328,8.834301
0.6846131,-4.1084566
0.8213475,-6.0160766
-3.9876356,-4.0604386
-0.47041044,-5.656647
-4.3437405,-2.7612212
-0.25301677,-6.79738
2.4303932,-7.451687
-1.6156361,-4.550339
2.3020682,-6.169927
0.94688994,-7.4549623
0.41171387,-5.2878847
2.213828,-8.166155
1.6911398,-5.261887
-2.986365,-2.9110408
-5.4464974,3.3129318
1.344201,-5.317285
-4.5386014,8.610842
-4.5386014,8.610842
2.1655116,-5.4356246
1.7539457,-6.950313
-2.4549096,-2.7890592
-3.444487,7.635445
2.1197336,-4.4037147
-4.391534,2.881936
-1.4431021,-1.5846301
-3.682334,8.436189
-2.2069888,7.4235816
-4.109699,2.6576653
-2.9438646,8.348231
-2.6914763,1.3345891
3.4794395,-0.7180287
3.6578243,-1.2361745
3.6752954,-1.2442336
5.0851007,-4.921666
-1.5797921,-6.807137
-0.30757502,-6.2352147
-5.8748,-6.04188
-5.4936137,-4.4993043
-1.0778979,2.5755787
-6.069746,3.6751347
-3.371969,6.953335
-4.512249,7.7338724
-2.9056466,6.8181953
-3.7122984,6.1995544
-1.70369,6.8792806
-1.5847486,6.7814155
-1.9047319,6.7175803
-2.0423095,7.747923
-11.25856,-3.2523441
-8.101154,0.57464147
-5.179717,-9.3623705
-7.361703,-7.502225
-4.980967,-9.936066
-4.909811,-9.865418
-8.962625,-3.8780267
-6.4246497,-9.711646
-9.397765,-6.6067557
-6.7340875,-11.417558
-7.3757577,-11.524103
-5.353162,-8.380721
-6.2025228,-5.3827987
-6.515101,-9.184771
-11.129856,-4.293497
-7.009029,-4.853523
-4.4741936,-8.199247
-8.093542,-5.064075
-6.1280255,-9.341236
-3.9458373,-12.214976
-1.6401563,0.27400193
-1.8644682,-8.543747
-2.899096,-8.268853
-3.9207144,-8.058611
-1.6456139,-10.520084
-4.578295,1.1142212
-1.8148282,0.5659688
4.50958,-5.9201837
4.490305,-3.5150979
3.7511997,-2.2997136
4.396169,-3.3940284
5.0858545,-2.6653554
5.323471,-5.0351715
-1.3037722,9.456896
-1.2063426,9.209928
8.149075,10.603553
9.096086,12.085816
8.197627,11.985706
10.255001,9.398047
10.869179,8.874956
7.6377077,11.225534
7.614607,11.328634
8.407637,11.219411
-7.3222876,-2.829022
-6.682405,-1.239605
-7.6362886,-1.8399378
-7.416734,-1.3636612
-10.11937,-3.1192803
-8.226285,-4.106467
-9.254762,-4.19267
-6.6204314,-1.6814182
-5.5204105,-10.91592
-6.6015162,-7.445538
-9.182436,-4.7473807
-3.1392384,-3.7780793
-3.755205,-1.2310134
-0.39448348,-3.96618
5.643973,5.3298283
5.9976306,5.4472404
7.7670827,7.2229686
8.540608,8.1320505
9.122875,10.787444
-7.7048745,-2.4019651
-8.386555,0.61402595
-6.475134,-4.2582746
-7.1069646,-0.86934555
-2.2559874,-6.2053843
-5.7974463,-10.372288
-3.9077969,-11.035116
-4.662434,-10.747926
-8.441179,-4.678069
-3.2575521,-4.622608
-2.8336725,-9.961757
-7.3574057,-10.383116
2.7096694,-2.9244354
-0.17970744,-2.0935838
-1.0343536,2.5039415
-5.289738,-3.4622877
-4.3417606,-3.0391781
3.5016775,-7.5334935
-4.856484,-1.3588247
-4.997925,7.9353194
-0.22757676,2.7009897
-4.8561225,-3.9018967
0.22835968,-2.9241998
-0.6865491,-5.1693687
-2.6788032,-1.7818527
-4.01524,8.044113
-4.7369986,2.1947312
-4.8954535,2.254489
-3.955601,2.0588028
-0.45600763,2.813922
-5.3333626,7.1612377
-12.951562,-5.22228
6.474409,6.527611
6.7463183,9.083248
6.7618504,9.152996
9.350841,8.717086
9.945378,7.2380314
9.709912,8.700311
9.251742,9.74953
9.958615,-2.24287
9.960622,-2.2418427
9.197249,9.98278
6.442179,6.3595657
9.542239,8.573064
5.8409114,4.4960046
5.507382,4.375375
6.1362815,4.1205854
6.246298,4.126028
8.270879,2.7355437
11.722321,6.790343
10.646598,8.107808
10.812278,9.200975
13.843662,2.6937811
-12.38964,-5.4992313
-12.650072,-5.3414187
-3.5353816,1.384185
2.8680944,6.6504326
2.7385905,6.607006
7.443426,3.319383
14.008386,5.2371817
13.145872,5.7668405
15.265409,5.0317583
15.139769,5.479277
14.011356,6.34601
13.654156,6.8617663
14.234578,5.6887913
13.744387,5.9966836
13.347119,5.072126
14.140123,4.1229186
9.83577,6.2815213
13.602801,4.4079022
15.841554,4.709945
14.081726,4.884267
15.063928,4.193592
14.830342,4.7875724
16.958275,4.4522386
13.123696,6.4008327
14.481001,6.778283
15.432913,4.3290834
15.887999,5.4157114
15.666629,5.794015
15.340153,6.1295233
